run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,inferential_run,metric_order,metric_id,manuscript_name,response_family,response_transform,effect_scale,additive_converged,additive_positive_definite_hessian,additive_singular,additive_max_gradient,additive_convergence_message,additive_fixed_columns,additive_fixed_rank,additive_fixed_full_rank,additive_fixed_condition_number,interaction_converged,interaction_positive_definite_hessian,interaction_singular,interaction_max_gradient,interaction_convergence_message,interaction_fixed_columns,interaction_fixed_rank,interaction_fixed_full_rank,interaction_fixed_condition_number,residual_n,residual_mean,residual_sd,residual_skewness,residual_qq_correlation,residual_absolute_fitted_spearman,residual_absolute_above_3_fraction,consecutive_day_pairs,participants_with_consecutive_pairs,pooled_consecutive_day_residual_correlation,serial_status,tweedie_power,dispersion,observed_zero_n,observed_zero_fraction,expected_zero_n,expected_zero_fraction,zero_mass_standardized_difference,zero_mass_method,zero_mass_status,fitted_natural_min,fitted_natural_max,fitted_below_lower_n,fitted_above_upper_n,observed_above_audit_threshold_n,prediction_bound_status,participant_random_intercept_sd,additive_fit_warnings,additive_fit_error,interaction_fit_warnings,interaction_fit_error,average_effect_status,interaction_effect_status,diagnostic_status,diagnostic_issues
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,4.433786671143025e-8,,10,10,TRUE,26.821461511587337,TRUE,TRUE,FALSE,1.0390976967755705e-6,,18,18,TRUE,36.19862529401297,816,-2.706168622523819e-16,0.2710383326397853,-0.8271247616963914,0.9767329923759762,-0.18971964211258707,0,654,141,0.008538780262972213,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,0.2837775967438617,20.809466041468358,0,,,PASS,0.2710856105035619,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,2.5710278350743465e-5,,10,10,TRUE,26.821461511587337,TRUE,TRUE,FALSE,3.0124738259473816e-5,,18,18,TRUE,36.19862529401297,816,-5.8613244976534e-16,0.4662797175226629,-1.1043489242646876,0.9693111511212706,-0.232485169391265,0,654,141,0.012355994546687439,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,1.982027481589697,644.2654851785022,0,,,PASS,0.37637838571594223,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,3,l10_mean_medi,Darkest 10 h mean,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.747083140609902e-6,,10,10,TRUE,26.821461511587337,TRUE,TRUE,FALSE,1.7988810441238456e-5,,18,18,TRUE,36.19862529401297,816,4.927975239206271e-16,0.19685923996730145,0.8069271021322595,0.9778576167427491,0.3409651705010695,0,654,141,-0.09179334824019626,PASS_DESCRIPTIVE_CHECK,,,114,0.13970588235294118,,,,not applicable,NOT_APPLICABLE,0.005636146886573157,1.2979428255731167,0,,,PASS,0.2110953259681438,,,,,ESTIMABLE,ESTIMABLE,REVIEW_WITH_LIMITATIONS,RESIDUAL_SPREAD_REVIEW
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.821461511587337,TRUE,TRUE,FALSE,,,18,18,TRUE,36.19862529401297,816,-0.028325237768467234,0.8675928798674756,0.9778432121158049,0.9652316654483692,0.10968440638488929,0.003676470588235294,654,141,-0.12067898965095533,PASS_DESCRIPTIVE_CHECK,1.4946564510425757,0.8282532715660004,103,0.12622549019607843,100.15063688054661,0.12273362362812094,0.31294469469271624,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.17596515145364758,4.546563213325869,0,0,,PASS,,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.70412699552889,TRUE,TRUE,FALSE,,,18,18,TRUE,38.2221873500404,737,-0.02521640419455886,0.8518632892109379,0.5742341089775387,0.9848514072299732,-0.11789596415240315,0.0013568521031207597,548,138,0.06304568249453885,PASS_DESCRIPTIVE_CHECK,1.5054744517812604,0.8134508974171787,25,0.033921302578018994,21.23470354793993,0.02881235216816816,0.8411664319305733,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.7016562320153088,7.675153470603685,0,,,PASS,,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,gaussian,identity,difference,TRUE,TRUE,FALSE,2.3305801732931286e-7,,10,10,TRUE,27.588112295426228,TRUE,TRUE,FALSE,1.7178081179736182e-6,,18,18,TRUE,41.57753524649378,655,1.6034671470158749e-16,0.762092926797755,0.5021132316561389,0.991968047219619,-0.06969565770365531,0.0030534351145038168,456,130,-0.22856154760596764,PASS_DESCRIPTIVE_CHECK,,,10,0.015267175572519083,,,,not applicable,NOT_APPLICABLE,0.7123553161183167,3.1944798464924506,0,0,0,PASS,0.5942098932784661,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.818640738763868,TRUE,TRUE,FALSE,,,18,18,TRUE,36.1183713188739,778,-0.011477972959523372,0.8368538841052744,-1.3361325810736944,0.9529628678509885,-0.09117009148932252,0.017994858611825194,613,138,0.007329876566075964,PASS_DESCRIPTIVE_CHECK,1.0705861164867285,0.33221208865834745,4,0.005141388174807198,7.352398534891372e-5,9.450383720940061e-8,466.48527356615494,Analytical compound-Poisson zero probability; no simulation or resampling,REVIEW_ABSOLUTE_STANDARDIZED_DIFFERENCE_AT_LEAST_3.29,4.226839206418825,9.659067951738932,0,,,PASS,,,,,,ESTIMABLE,ESTIMABLE,REVIEW_WITH_LIMITATIONS,ZERO_MASS_REVIEW
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,8.870131296134787e-5,,10,10,TRUE,26.821461511587337,TRUE,TRUE,FALSE,1.1044676284654997e-5,,18,18,TRUE,36.19862529401297,816,-5.074916521877248e-17,0.30108614551838325,-0.24222677168061374,0.9974679134491211,-0.12603270190940302,0,654,141,-0.004440451010118064,PASS_DESCRIPTIVE_CHECK,,,31,0.03799019607843137,,,,not applicable,NOT_APPLICABLE,0.13401353621045237,2.5244929200823427,0,0,,PASS,0.21205131482145942,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.467839845456183e-6,,10,10,TRUE,26.82510452612356,TRUE,TRUE,FALSE,1.5143086784519255e-6,,18,18,TRUE,37.87714477075895,761,9.045181015342931e-16,0.5083411428889371,-1.6042178305361563,0.9560655733871108,-0.1175411513591599,0.002628120893561104,572,140,-0.01905072671975689,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,676.6747278071357,25593.977825856047,0,,,PASS,0.33874810998588006,,,,,ESTIMABLE,ESTIMABLE,PASS,
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.338805284642149e-6,,9,9,TRUE,20.846068973702938,TRUE,TRUE,FALSE,1.6405010683229193e-5,,16,16,TRUE,22.220730864898975,902,1.0366799805881797e-15,0.3121832152098316,-0.8004097776344431,0.9770098000734049,-0.16784943948830516,0,733,154,-0.033416358161492896,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,0.5087731818457161,18.54653050012532,0,,,PASS,0.24956372586865028,,,,,ESTIMABLE,ESTIMABLE,PASS,
