item,classification,preflight_pass,detail
historical_order70c_checker_preimage_pin,HISTORICAL_IMMUTABLE_SUPERSEDED_BY_ORDER70D_CHECKER,TRUE,Historical checker remains byte-exact at 0a026156; copied checker validates the authorized transitions.
order70c_dispatch_implementation_preimage,HISTORICAL_TRANSITION_PREIMAGE_PRESERVED_IN_STOP_SEAL,TRUE,The old implementation identity remains recorded only as a historical preimage.
order70c_dispatch_stopped_seal,HISTORICAL_TRANSITION_PREIMAGE_PRESERVED_IN_STOP_SEAL,TRUE,The old sidecar seal remains recorded only as a historical preimage.
implementation_sidecar_seal,AUTHORIZED_RESEAL_REQUIRED_BEFORE_EXECUTION,TRUE,The one-row sidecar must identify the final 86a9131c postimage before any mode runs.
retained_candidate_resume_state,AUTHORIZED_RESUME_GATE_REQUIRED_BEFORE_EXECUTION,TRUE,The existing candidate_build is exactly the accepted 892-file baseline with zero symlinks.
candidate_root_copy_operation,AUTHORIZED_REMOVAL_FOR_RETAINED_EXACT_BASELINE,TRUE,The final postimage removes the second copy and transforms the retained exact baseline in place.
landing_and_corpus_promotion_preimages,INTENTIONAL_MODE_ORDERING_WITH_BACKUP_AND_REVERSE_CHECK,TRUE,Candidate mode requires old live hashes; promote backs up both; postflight uses preserved preimages.
production_docx_absent_to_added,INTENTIONAL_SINGLE_ADDITION_AFTER_CANDIDATE_VALIDATION,TRUE,The production Word download is currently absent and is added only from the exact accepted canonical DOCX.
completion_manifest_self_exclusion,SAFE_NON_CIRCULAR_EXCLUSION_PRESENT,TRUE,The completion manifest excludes its own output path before hashing.
continuation_checker_self_pin,SAFE_NO_SELF_PIN,TRUE,This checker is sealed externally and contains no assertion against its own hash.
