"source_qmd","source_line","current_label","proposed_label","caption","required_action","approval_status"
"notebooks/hypotheses/H06.qmd",474,"exact-samples","tbl-h06-exact-samples","Exact fitted samples for the six core H06 analyses.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",576,"multiplicity-registry","tbl-h06-fdr-adjustment","Declared sets of tests and multiplicity adjustment.","Change only the cell label, retain the native gt_tbl pipeline and caption, use the approved reader-facing FDR abbreviation rather than BH after explanation, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",594,"primary-effects","tbl-h06-primary-effects","Primary common-effect ratios of expected supported-hour near-eye melEDI.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",620,"primary-site-heterogeneity","tbl-h06-primary-site-interactions","Site-interaction block tests for the primary near-eye analysis.","Change only the cell label; use the approved reader term in the anchor; retain the native gt_tbl pipeline and caption; update dynamic references; verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",681,"site-specific-significance-table","tbl-h06-site-specific-associations","Site-specific near-eye associations with separate nine-site adjustments.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1014,"gap-effect-comparisons","tbl-h06-gap-sensitivity-comparisons","Primary and gap-sensitivity estimates on all available and exact common hours.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1087,"key-sensitivities","tbl-h06-key-sensitivities","Selected declared sensitivities for the three primary predictors.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1136,"influence-summary","tbl-h06-influence-checks","Targeted participant and site deletion checks.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1170,"core-diagnostic-summary","tbl-h06-model-checks","Interpreted diagnostics for the six additive mean models.","Change only the cell label; use the approved reader-facing model-check term in the anchor; retain the native gt_tbl pipeline and caption; update dynamic references; verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1252,"exploratory-diary-effects","tbl-h06-exploratory-diary-associations","Exploratory one-at-a-time diary associations.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
"notebooks/hypotheses/H06.qmd",1387,"figure-readability-qa","tbl-h06-figure-readability-checks","Physical-size checks for all reader-facing H06 figures.","Change only the cell label, retain the native gt_tbl pipeline and caption, update any dynamic references if introduced, and verify one resolved Quarto caption/anchor.","approved for first adjustment run; final visual review pending"
