placement,diagnostic,evidence,assessment,interpretation
Near-eye,Fractional-weight integrity,16526 hours checked; maximum |sum(weight)-1| = 0; rows equal k: TRUE,ACCEPTABLE,Each participant-hour contributes one total unit across retained categories.
Near-eye,"IRLS, design, and robust covariance",converged=TRUE; rank=14/14; covariance finite=TRUE; H04-F1 status=ESTIMABLE,ACCEPTABLE,The fitted mean and registered robust restriction are numerically estimable.
Near-eye,Participant-cluster influence,maximum score share=0.398; maximum leverage share=0.016,ACCEPTABLE,No participant exceeds the predeclared architecture-check influence limits.
Near-eye,Mean-variance and calibration,hour residual-fitted Spearman=-0.310; absolute-residual Spearman=0.483,ACCEPTABLE WITH LIMITATION,The quasi mean model is used for robust population-average inference; remaining variance-pattern structure is visible in calibration diagnostics.
Near-eye,Exact zeros and positive tail,4784/16526 unique hours are exactly zero (28.9%),ACCEPTABLE WITH LIMITATION,"The zero-aware geometric mean remains in the fit, but the quasi model does not separately model the probability of zero."
Near-eye,Within-run serial dependence,unique-hour Pearson residual lag-1 correlation=0.445,ACCEPTABLE WITH LIMITATION,Serial correlation remains visible; participant clustering encompasses the complete longitudinal record and is the inferential basis.
Near-eye,Working variance power,p=1.30/1.80: named-contrast directions stable=TRUE; maximum ratio change=14.7%,ACCEPTABLE,Fixed power checks do not select the model by H04 significance.
Near-eye,Overall primary mean-model assessment,structural checks pass=TRUE; inference uses 126 participant clusters,ACCEPTABLE WITH LIMITATION,"The registered mean model is usable for inference, with explicit limitations for zero structure, residual variance, and serial dependence."
Chest,Fractional-weight integrity,20128 hours checked; maximum |sum(weight)-1| = 0; rows equal k: TRUE,ACCEPTABLE,Each participant-hour contributes one total unit across retained categories.
Chest,"IRLS, design, and robust covariance",converged=TRUE; rank=13/13; covariance finite=TRUE; H04-F1 status=ESTIMABLE,ACCEPTABLE,The fitted mean and registered robust restriction are numerically estimable.
Chest,Participant-cluster influence,maximum score share=0.243; maximum leverage share=0.013,ACCEPTABLE,No participant exceeds the predeclared architecture-check influence limits.
Chest,Mean-variance and calibration,hour residual-fitted Spearman=-0.349; absolute-residual Spearman=0.524,ACCEPTABLE WITH LIMITATION,The quasi mean model is used for robust population-average inference; remaining variance-pattern structure is visible in calibration diagnostics.
Chest,Exact zeros and positive tail,5923/20128 unique hours are exactly zero (29.4%),ACCEPTABLE WITH LIMITATION,"The zero-aware geometric mean remains in the fit, but the quasi model does not separately model the probability of zero."
Chest,Within-run serial dependence,unique-hour Pearson residual lag-1 correlation=0.498,ACCEPTABLE WITH LIMITATION,Serial correlation remains visible; participant clustering encompasses the complete longitudinal record and is the inferential basis.
Chest,Working variance power,p=1.30/1.80: named-contrast directions stable=TRUE; maximum ratio change=14.9%,ACCEPTABLE,Fixed power checks do not select the model by H04 significance.
Chest,Overall primary mean-model assessment,structural checks pass=TRUE; inference uses 150 participant clusters,ACCEPTABLE WITH LIMITATION,"The registered mean model is usable for inference, with explicit limitations for zero structure, residual variance, and serial dependence."
