"check","pass","detail"
"dispatch_transition_exact",TRUE,"27/28 plus authorized test transition"
"acceptance_transition_exact",TRUE,"24/25 plus authorized test transition"
"matrix_exact",TRUE,"coordination matrix fixed"
"result_qmd_exact",TRUE,"result source fixed"
"companion_qmd_exact",TRUE,"companion source fixed"
"result_html_exact",TRUE,"Order 60b HTML fixed"
"test_postimage_exact",TRUE,"authorized test postimage"
"verifier_once_pass",TRUE,"one invocation, exit 0"
"verifier_14_pass",TRUE,"14 of 14"
"verifier_contract_pass",TRUE,"6 of 6"
"no_drift_pass",TRUE,"11 of 11"
"stage3_contract_pass",TRUE,"nine contract rows"
"browser_no_fail",TRUE,"no fail or not-tested visual row"
"screenshots_present",TRUE,"34 nonempty PNG evidence files"
"figures_8",TRUE,"eight figure simulations"
"tables_15",TRUE,"15 table captures"
"zero_symlinks",TRUE,"zero build symlinks"
