run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit.x,response_family.x,response_transform.x,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,derivation_support_unavailability_reason,sample_status,analysis_unit.y,response_family.y,response_transform.y,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,141,816,141,9,18851,available,,FITTED,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,141,816,141,9,18851,available,,FITTED,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,18851,available,,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,141,816,816,9,18851,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,141,737,737,9,9174.283333333333,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,139,655,655,9,1925.5333333333333,available,,FITTED,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,141,778,778,9,6282.516666666666,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,141,816,816,9,18851,available,,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,11,m10_midpoint,participant_day,gaussian,clock_hours,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,13,mean_timing_above_250,participant_day,gaussian,clock_hours,141,742,742,9,17209.633333333335,available,,FITTED,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
