"check","pass","detail"
"current_seals",TRUE,"828 + 444 + 18 = 1290 rows exact, canonical-unique within each non-circular seal"
"durable_copies",TRUE,"38 exact copies; TEMP paths are provenance, not future execution dependencies"
"proposal_members",TRUE,"18/18 exact at durable destinations"
"isolated_tests",TRUE,"139/139 fresh isolated checks; no full entry point or package save"
"test_output_identity",TRUE,"Three independent result files byte-identical to original tests"
"postimage_and_reverse",TRUE,"Exact postimage and zero-fuzz/no-offset reverse"
"execution_inputs",TRUE,"Six existing execution inputs exact; helper still preimage"
"complete_command_vectors",TRUE,"All assembly/embedding arguments, cwd and output paths independently checked"
"new_outputs_absent",TRUE,"No assembled candidate, embedded preview or embedding report exists"
"maps",TRUE,"52 drawings planned from 23 SVG appearances/22 sources plus 29 PNG table parts/19 keys"
"runtime_link",TRUE,"Existing python3 -> python3.12 link unchanged"
