"gate","status","detail"
"authorized source transition","PASS","The sole rel_path argument was added and the exact required postimage and reverse proof passed"
"required checker","PASS","The sealed R 4.6.1 checker passed exactly once before source mutation"
"sole replacement render","PASS_EXECUTION_ONLY","The one authorized Quarto command exited 0 and was not repeated"
"semantic hook","PASS","Seventeen tables were repaired with a reversible 1003-row external ledger"
"table and link semantics","PASS","All 17 tables, 905 header-bearing nodes, 1193 token references, two dynamic links, and country-coded sites passed"
"figure source","FAIL","The rendered image URL resolves to a nonexistent build-local Users/zauner path"
"forbidden local path","FAIL","The reader HTML exposes a user-specific filesystem path"
"protected authoring HTML","FAIL","The render removed the held source-side companion HTML"
"build delta","PASS_BOUNDED","Four target resources were added and only the target HTML, search index, and sitemap changed"
"accepted result preservation","PASS","The accepted H06_daily result source and HTML remain exact"
"secure-loopback and final-size QA","NOT_STARTED_FAIL_CLOSED_NONVISUAL_GATE","Direct integration failed before a reader acceptance surface was eligible"
"retry boundary","PASS","No patch, second render, helper, historical test, or manifest builder was run"
"teardown","PASS","No Quarto, Pandoc, semantic-hook, H06_daily, or loopback process remains"
