key,text
overall_title,"Age distributions and associations retained after FDR adjustment"
overall_subtitle,"Near-eye evidence is primary and chest evidence complementary; placements are not pooled"
overall_caption,"Main-effect standardization is for display only; practical estimates, exact samples, and FDR-adjusted p-values are reported in the accompanying table."
age_title,"Participant age distribution in each fitted placement sample"
age_subtitle,"One point per participant; sites follow submitted-manuscript order and colours (near eye n = 141; chest n = 154)"
age_x,"Age (years)"
biological_sex_legend,"Measured biological sex"
placement_near_eye,"Near eye (primary)"
placement_chest,"Chest (complementary)"
main_title,"All main associations retained after FDR adjustment"
main_subtitle,"Standardized fitted-frame effects and 95% confidence intervals; 11 retained across separate 17-metric FDR families"
main_x,"Effect on model scale, divided by the fitted-frame response SD"
placement_legend,"Placement"
association_legend,"Association"
association_age,"Age, per 10 years"
association_sex,"Female minus Male"
panel_near_age,"Near-eye age"
panel_chest_age,"Chest age"
panel_chest_sex,"Chest Female–Male"
interaction_title,"Site-specific age estimates for two retained age-by-site interactions"
interaction_subtitle,"Chest placement; site-specific estimates are descriptive components of the two omnibus age-by-site interactions, not separate site-level tests"
interaction_x,"Clock-time difference per decade (minutes; 95% CI)"
