metric_order,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,metric_id,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,value_definition
1,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,interdaily_stability,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Interdaily stability: Repeated-day regularity
2,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,intradaily_variability,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Intradaily variability: Within-day fragmentation
3,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",daily_geometric_mean_medi,Mean melEDI,Mean,level-based,lx,Daily geometric mean,Mean melEDI: Daily geometric mean
4,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Brightest 10 h mean: Supported 10-hour window
5,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Darkest 10 h mean: Supported 10-hour window
6,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks",duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,"Time above 1,000 lx melEDI: Full 24-hour cycle"
7,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Time above 250 lx melEDI during wake: Waking near-eye measurement
8,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Time below 10 lx melEDI before sleep: Three hours before attempted sleep
9,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Time below 1 lx melEDI during sleep: Bedside sleep-environment measurement
10,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Longest continuous period above 250 lx melEDI: Observed lower bound
11,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Midpoint of the brightest 10 hours: Supported 10-hour window
12,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 conversion; continuous-range check; no noon sensitivity in H05,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Midpoint of the darkest 10 hours: Supported midnight-wrapping 10-hour window
13,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Mean timing of exposure above 250 lx melEDI: Duration-weighted mean timing
14,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Late-evening cluster check,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,First light timing above 250 lx melEDI: Boundary-censoring rule
15,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Early-morning cluster check,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Last light timing above 250 lx melEDI: Boundary-censoring rule
16,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,melEDI dose: Time-sensitive missing-coverage correction
17,participant_day,gaussian,identity,difference,FALSE,0,,,Mean of viable one-minute melEDI/illuminance ratios with at least 720 viable minutes; upper-tail and influence checks,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Mean of viable one-minute melEDI/illuminance ratios,Melanopic daylight efficacy ratio: Mean of viable one-minute melEDI/illuminance ratios
