order,endpoint,native_gt_count,caption_count,source_note_count,caption,expected_caption,caption_matches,data_rows,status
1,tbl-h06-daily-analysis-roles,1,1,1,Table 1: Analysis roles and exact fitted-sample ranges.,Analysis roles and exact fitted-sample ranges.,TRUE,5,PASS
2,tbl-h06-daily-fdr-families,1,1,1,Table 2: Twelve fixed 15-slot FDR families.,Twelve fixed 15-slot FDR families.,TRUE,12,PASS
3,tbl-h06-daily-primary-matrix,1,1,1,Table 3: Primary near-eye predictor-specific participant-day associations.,Primary near-eye predictor-specific participant-day associations.,TRUE,15,PASS
4,tbl-h06-daily-primary-site-interactions,1,1,1,Table 4: Site-average contrasts and site adjustment factors for primary interaction blocks retained by the global FDR rule.,Site-average contrasts and site adjustment factors for primary interaction blocks retained by the global FDR rule.,TRUE,10,PASS
5,tbl-h06-daily-placement-work-free,1,1,1,"Table 5: Near-eye, chest, and paired/common estimates for Free versus Work day.","Near-eye, chest, and paired/common estimates for Free versus Work day.",TRUE,15,PASS
6,tbl-h06-daily-placement-activity,1,1,1,"Table 6: Near-eye, chest, and paired/common estimates for Active versus Sedentary status.","Near-eye, chest, and paired/common estimates for Active versus Sedentary status.",TRUE,15,PASS
7,tbl-h06-daily-placement-sleep,1,1,1,"Table 7: Near-eye, chest, and paired/common estimates per additional hour of previous-night sleep.","Near-eye, chest, and paired/common estimates per additional hour of previous-night sleep.",TRUE,15,PASS
8,tbl-h06-daily-gap-decision-changes,1,1,1,Table 8: Primary versus gap-timing-unaware association decisions that crossed the FDR threshold.,Primary versus gap-timing-unaware association decisions that crossed the FDR threshold.,TRUE,3,PASS
9,tbl-h06-daily-joint-family-summary,1,1,1,Table 9: Exploratory mutually adjusted daily-model FDR families.,Exploratory mutually adjusted daily-model FDR families.,TRUE,6,PASS
10,tbl-h06-daily-joint-stability-limitations,1,1,1,Table 10: Covariate-adjustment shifts of at least one common-sample standard error.,Covariate-adjustment shifts of at least one common-sample standard error.,TRUE,8,PASS
11,tbl-h06-daily-joint-site-interactions,1,1,1,Table 11: Site-specific contrasts for conditionally supported exploratory interaction blocks.,Site-specific contrasts for conditionally supported exploratory interaction blocks.,TRUE,6,PASS
12,tbl-h06-daily-temporal-gamm,1,1,1,Table 12: Exploratory primary near-eye 30-minute GAMM summaries.,Exploratory primary near-eye 30-minute GAMM summaries.,TRUE,4,PASS
13,tbl-h06-daily-main-comparison,1,1,1,Table 13: Selected main hourly H06 versus daily mean-melEDI associations.,Selected main hourly H06 versus daily mean-melEDI associations.,TRUE,3,PASS
14,tbl-h06-daily-diagnostic-summary,1,1,1,Table 14: Model-check and sensitivity classifications.,Model-check and sensitivity classifications.,TRUE,25,PASS
