"check_id","status","expected","observed","detail"
"result_r_chunks_parse","PASS","no parse errors","",""
"result_chunk_labels_preserved","PASS","fig-h02-chest-diagnostics|fig-h02-chest-patterns|fig-h02-near-diagnostics|fig-h02-near-patterns|fig-h02-paired-placement-curves|session-info-h02|setup-h02|tbl-h02-chest-diagnostics|tbl-h02-chest-dominance|tbl-h02-chest-relevance|tbl-h02-chest-sample|tbl-h02-chest-variation|tbl-h02-chest-windows|tbl-h02-data-deviations|tbl-h02-model-deviations|tbl-h02-near-diagnostics|tbl-h02-near-dominance|tbl-h02-near-relevance|tbl-h02-near-sample|tbl-h02-near-variation|tbl-h02-near-windows|tbl-h02-sensitivity; unlabeled=0","fig-h02-chest-diagnostics|fig-h02-chest-patterns|fig-h02-near-diagnostics|fig-h02-near-patterns|fig-h02-paired-placement-curves|session-info-h02|setup-h02|tbl-h02-chest-diagnostics|tbl-h02-chest-dominance|tbl-h02-chest-relevance|tbl-h02-chest-sample|tbl-h02-chest-variation|tbl-h02-chest-windows|tbl-h02-data-deviations|tbl-h02-model-deviations|tbl-h02-near-diagnostics|tbl-h02-near-dominance|tbl-h02-near-relevance|tbl-h02-near-sample|tbl-h02-near-variation|tbl-h02-near-windows|tbl-h02-sensitivity; unlabeled=0; unlabeled_body_identical=NA",""
"result_inline_r_preserved","PASS","26","26",""
"result_numeric_tokens_preserved","PASS","468","468",""
"result_artifact_tokens_preserved","PASS","basis_dimension_checks.csv|cluster_residual_acf_summary.csv|dominance_comparison_summary.csv|dominance_summary.csv|figure4_exact_layout_replication_chest.png|figure4_exact_layout_replication.png|figure4_pointwise_conditional_windows.csv|formal_concurvity.csv|formula_sensitivity_comparison.csv|H02_analysis_preparation.qmd|manuscript_prepared_stability.csv|model_diagnostics_chest.png|model_diagnostics_near_eye.png|model_fit_summary.csv|model_structure_comparisons.csv|p_value_display.R|paired_placement_site_curves.csv|preregistration_deviations.qmd|residual_acf.csv|residual_summary.csv|sample_counts.csv|site_curve_predictions.csv|site_display_registry.csv|support_audit.csv|sz_constraint_identifiability.csv|variation_summary.csv","basis_dimension_checks.csv|cluster_residual_acf_summary.csv|dominance_comparison_summary.csv|dominance_summary.csv|figure4_exact_layout_replication_chest.png|figure4_exact_layout_replication.png|figure4_pointwise_conditional_windows.csv|formal_concurvity.csv|formula_sensitivity_comparison.csv|H02_analysis_preparation.qmd|manuscript_prepared_stability.csv|model_diagnostics_chest.png|model_diagnostics_near_eye.png|model_fit_summary.csv|model_structure_comparisons.csv|p_value_display.R|paired_placement_site_curves.csv|preregistration_deviations.qmd|residual_acf.csv|residual_summary.csv|sample_counts.csv|site_curve_predictions.csv|site_display_registry.csv|support_audit.csv|sz_constraint_identifiability.csv|variation_summary.csv",""
"companion_r_chunks_parse","PASS","no parse errors","",""
"companion_chunk_labels_preserved","PASS","fig-h02-prep-ar-change|fig-h02-prep-clock-support|fig-h02-prep-day-support|fig-h02-prep-response-distribution|prep-site-summary|prepare-h02-response-distribution|setup|tbl-h02-prep-ar-boundaries|tbl-h02-prep-boundary|tbl-h02-prep-chest-site-sample|tbl-h02-prep-diagnostic-map|tbl-h02-prep-environment|tbl-h02-prep-inputs|tbl-h02-prep-manifests|tbl-h02-prep-module-map|tbl-h02-prep-near-site-sample|tbl-h02-prep-parameters|tbl-h02-prep-primary-fits|tbl-h02-prep-scenarios|tbl-h02-prep-script-map|tbl-h02-prep-sensitivity-map|tbl-h02-prep-structure-checks|tbl-h02-prep-support; unlabeled=1","fig-h02-prep-ar-change|fig-h02-prep-clock-support|fig-h02-prep-day-support|fig-h02-prep-response-distribution|prep-site-summary|prepare-h02-response-distribution|setup|tbl-h02-prep-ar-boundaries|tbl-h02-prep-boundary|tbl-h02-prep-chest-site-sample|tbl-h02-prep-diagnostic-map|tbl-h02-prep-environment|tbl-h02-prep-inputs|tbl-h02-prep-manifests|tbl-h02-prep-module-map|tbl-h02-prep-near-site-sample|tbl-h02-prep-parameters|tbl-h02-prep-primary-fits|tbl-h02-prep-scenarios|tbl-h02-prep-script-map|tbl-h02-prep-sensitivity-map|tbl-h02-prep-structure-checks|tbl-h02-prep-support; unlabeled=1; unlabeled_body_identical=TRUE",""
"companion_inline_r_preserved","PASS","4","4",""
"companion_numeric_tokens_preserved","PASS","476/476; token 2 delta -1; token 11 delta +1; all others 0","before=476; after=476; token_2_delta=-1; token_11_delta=1; other_nonzero_deltas=0",""
"companion_artifact_tokens_preserved","PASS","*__dominance_bootstrap.rds|*__dominance_predictions.rds|*__variation_bootstrap.rds|ar_boundary_audit.csv|audit_submitted_h02.R|basis_dimension_checks.csv|build_h02_figure_readability_qa.R|build_h02_figure4_replication.R|build_h02_model_data.R|build_h02_paired_placement_display.R|build_h02_preparation_report_manifest.R|build_h02_reader_diagnostics.R|build_h02_worker_manifest.R|cluster_residual_acf_summary.csv|conditional_deletion_influence.csv|dominance_*.csv|figure4_exact_layout_replication_chest.png|figure4_exact_layout_replication.png|figure4_exact_layout_source*.rds|figure4_replication_manifest.csv|formal_concurvity.csv|global_time_basis_model_comparison.csv|H02_analysis_manifest.csv|H02_analysis_preparation.qmd|h02_contract.R|h02_data.R|H02_dominance_manifest.csv|h02_dominance.R|H02_figure_readability_qa.csv|h02_figure4_pointwise.R|H02_formula_sensitivity_manifest.csv|H02_global_time_basis_diagnostic_manifest.csv|H02_model_data_manifest.csv|h02_modeling.R|H02_paired_placement_display_manifest.csv|H02_preparation_report_manifest.csv|H02_reader_diagnostics_manifest.csv|H02_temporal_diagnostics_manifest.csv|H02_worker_output_hashes.csv|H02.qmd|input_hashes.csv|main__chest__all_available.rds|main__glasses__all_available.rds|model_diagnostics_*_source.rds|model_fit_summary.csv|model_structure_comparisons.csv|p_value_display.R|paths_io.R|preparation_response_distribution_exact_zero_summary.csv|preparation_response_distribution_positive_observations.csv|renv.lock|residual_acf.csv|residual_summary.csv|run_h02_analysis.R|run_h02_dominance_analysis.R|run_h02_formula_sensitivity.R|run_h02_global_time_diagnostic_sensitivity.R|run_h02_temporal_diagnostics.R|run_renv_status_safe.R|sample_counts.csv|site_display_registry.csv|submitted_recovery.csv|support_audit.csv|sz_constraint_identifiability.csv","*__dominance_bootstrap.rds|*__dominance_predictions.rds|*__variation_bootstrap.rds|ar_boundary_audit.csv|audit_submitted_h02.R|basis_dimension_checks.csv|build_h02_figure_readability_qa.R|build_h02_figure4_replication.R|build_h02_model_data.R|build_h02_paired_placement_display.R|build_h02_preparation_report_manifest.R|build_h02_reader_diagnostics.R|build_h02_worker_manifest.R|cluster_residual_acf_summary.csv|conditional_deletion_influence.csv|dominance_*.csv|figure4_exact_layout_replication_chest.png|figure4_exact_layout_replication.png|figure4_exact_layout_source*.rds|figure4_replication_manifest.csv|formal_concurvity.csv|global_time_basis_model_comparison.csv|H02_analysis_manifest.csv|H02_analysis_preparation.qmd|h02_contract.R|h02_data.R|H02_dominance_manifest.csv|h02_dominance.R|H02_figure_readability_qa.csv|h02_figure4_pointwise.R|H02_formula_sensitivity_manifest.csv|H02_global_time_basis_diagnostic_manifest.csv|H02_model_data_manifest.csv|h02_modeling.R|H02_paired_placement_display_manifest.csv|H02_preparation_report_manifest.csv|H02_reader_diagnostics_manifest.csv|H02_temporal_diagnostics_manifest.csv|H02_worker_output_hashes.csv|H02.qmd|input_hashes.csv|main__chest__all_available.rds|main__glasses__all_available.rds|model_diagnostics_*_source.rds|model_fit_summary.csv|model_structure_comparisons.csv|p_value_display.R|paths_io.R|preparation_response_distribution_exact_zero_summary.csv|preparation_response_distribution_positive_observations.csv|renv.lock|residual_acf.csv|residual_summary.csv|run_h02_analysis.R|run_h02_dominance_analysis.R|run_h02_formula_sensitivity.R|run_h02_global_time_diagnostic_sensitivity.R|run_h02_temporal_diagnostics.R|run_renv_status_safe.R|sample_counts.csv|site_display_registry.csv|submitted_recovery.csv|support_audit.csv|sz_constraint_identifiability.csv",""
