viewport,component,status,observation,evidence
1440x1000,page_layout,PASS,"No document-level horizontal overflow; desktop table of contents and navigation shell are visible; one main content region is present.",browser_observations.json
1440x1000,all_14_tables,PASS,"All fourteen tables are present with nonempty captions, complete content, aligned columns, and no clipping or overlap.",desktop_01_tbl-h06-primary-effects.png through desktop_14_tbl-h06-figure-readability-checks.png
1440x1000,all_6_figures,PASS,"All six figures are complete, captioned, have alternate text, and render at approximately 642 pixels wide without clipping or distortion.",desktop_15_fig-h06-core-effects.png through desktop_20_fig-h06-exploratory-activity-time.png
1440x1000,employment_eligibility_section,PASS,"The near-eye-only sensitivity heading, sample flow, three estimates and intervals, FDR-adjusted p-values, stability wording, heterogeneity statement, diagnostic qualification, and three source links are visible and legible.",desktop_21_employment-eligibility-sensitivity-near-eye-only.png
1440x1000,figure_final_size,PASS,"The six 2141-pixel native figures render at the accepted approximately 642-pixel or 170-mm width; displayed text is complete and visually legible under the recorded at-least-7-point contract.",desktop_15_fig-h06-core-effects.png through desktop_20_fig-h06-exploratory-activity-time.png
708x1000,page_layout,PASS,"No document-level horizontal overflow; the main column is 642 pixels wide; all six figures fit at 642 pixels.",narrow_708x1000_top.png
708x1000,table_containment,PASS,"All fourteen tables remain inside the 642-pixel main column. The only wider table is the 700-pixel site-specific table, which is contained by an overflow-x auto scroller.",browser_observations.json
708x1000,navigation_menu,PASS,"The collapsed navigation button opens all six top-level reader navigation entries and closes again.",narrow_708x1000_navigation_open.png
708x1000,mobile_on_this_page,FAIL,"The control opens and changes from plus to minus, but the expanded panel is blank. All ten section links remain hidden because the nested list retains its collapsed state.",narrow_708x1000_on_this_page_open.png
720x500,zoom_equivalent,NOT_TESTED,"The fail-closed rule stopped QA immediately after the genuine 708-pixel interaction defect.",
all,console_and_remaining_links,NOT_TESTED,"Remaining console, HTTP-resource, DEV-link interaction, and reciprocal-link visual checks were not continued after the genuine defect.",
