run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,inferential_run,metric_order,metric_id,manuscript_name,response_family,response_transform,effect_scale,additive_converged,additive_positive_definite_hessian,additive_singular,additive_max_gradient,additive_convergence_message,additive_fixed_columns,additive_fixed_rank,additive_fixed_full_rank,additive_fixed_condition_number,interaction_converged,interaction_positive_definite_hessian,interaction_singular,interaction_max_gradient,interaction_convergence_message,interaction_fixed_columns,interaction_fixed_rank,interaction_fixed_full_rank,interaction_fixed_condition_number,residual_n,residual_mean,residual_sd,residual_skewness,residual_qq_correlation,residual_absolute_fitted_spearman,residual_absolute_above_3_fraction,consecutive_day_pairs,participants_with_consecutive_pairs,pooled_consecutive_day_residual_correlation,serial_status,tweedie_power,dispersion,observed_zero_n,observed_zero_fraction,expected_zero_n,expected_zero_fraction,zero_mass_standardized_difference,zero_mass_method,zero_mass_status,fitted_natural_min,fitted_natural_max,fitted_below_lower_n,fitted_above_upper_n,observed_above_audit_threshold_n,prediction_bound_status,participant_random_intercept_sd,additive_fit_warnings,additive_fit_error,interaction_fit_warnings,interaction_fit_error,average_effect_status,interaction_effect_status,diagnostic_status,diagnostic_issues
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,3.524291969370097e-8,,10,10,TRUE,26.82146151158737,TRUE,TRUE,FALSE,3.262925929448102e-5,,18,18,TRUE,36.19862529401286,816,1.8524125588568022e-16,0.2710383326397782,-0.8271247616963938,0.9767329923759717,-0.18971964211258707,0,654,141,0.008538780262922702,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,0.2837775967437043,20.809466041471257,0,,,PASS,0.27108561050366514,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,2.5703457140480168e-5,,10,10,TRUE,26.82146151158737,TRUE,TRUE,FALSE,2.2768062990508042e-5,,18,18,TRUE,36.19862529401286,816,3.2653618371328135e-17,0.46627971752266273,-1.104348924264687,0.9693111511212705,-0.232485169391265,0,654,141,0.012355994546687562,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,1.982027481589709,644.2654851785029,0,,,PASS,0.3763783857159422,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,3,l10_mean_medi,Darkest 10 h mean,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.744738349581894e-6,,10,10,TRUE,26.82146151158737,TRUE,TRUE,FALSE,1.80040871100573e-5,,18,18,TRUE,36.19862529401286,816,-4.0873146370735883e-16,0.19685923996715993,0.8069271021272888,0.9778576167428074,0.3409651705010695,0,654,141,-0.09179334824180373,PASS_DESCRIPTIVE_CHECK,,,114,0.13970588235294118,,,,not applicable,NOT_APPLICABLE,0.005636146886442969,1.2979428255813545,0,,,PASS,0.21109532597066388,,,,,ESTIMABLE,ESTIMABLE,REVIEW_WITH_LIMITATIONS,RESIDUAL_SPREAD_REVIEW
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.82146151158737,TRUE,TRUE,FALSE,,,18,18,TRUE,36.19862529401286,816,-0.02832523776837129,0.8675928798673813,0.9778432121156657,0.9652316654483736,0.10953837186074386,0.003676470588235294,654,141,-0.12067898965099148,PASS_DESCRIPTIVE_CHECK,1.4946564510426883,0.8282532715662416,103,0.12622549019607843,100.15063688056604,0.12273362362814474,0.31294469469055713,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.17596515145359704,4.546563213325582,0,0,,PASS,,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.704126995528892,TRUE,TRUE,FALSE,,,18,18,TRUE,38.222187350040294,737,-0.0252164041562274,0.8518632891162796,0.574234109229978,0.9848514072257553,-0.11789596415240315,0.0013568521031207597,548,138,0.06304568243395704,PASS_DESCRIPTIVE_CHECK,1.5054744517210534,0.8134508977015033,25,0.033921302578018994,21.234703582082197,0.028812352214494172,0.8411664236652076,Analytical compound-Poisson zero probability; no simulation or resampling,PASS_DESCRIPTIVE_CHECK,0.701656231739906,7.67515347229772,0,,,PASS,,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,gaussian,identity,difference,TRUE,TRUE,FALSE,2.091837814077735e-7,,10,10,TRUE,27.58811229542624,TRUE,TRUE,FALSE,1.7246293282369152e-6,,18,18,TRUE,41.57753524649359,655,1.2844687145968605e-15,0.7620929267924967,0.5021132316519124,0.9919680472197352,-0.06969565770365531,0.0030534351145038168,456,130,-0.22856154761946795,PASS_DESCRIPTIVE_CHECK,,,10,0.015267175572519083,,,,not applicable,NOT_APPLICABLE,0.7123553160719382,3.1944798465429454,0,0,0,PASS,0.5942098933126942,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,tweedie_log,identity,ratio,TRUE,TRUE,FALSE,,,10,10,TRUE,26.818640738763875,TRUE,TRUE,FALSE,,,18,18,TRUE,36.1183713188738,778,-0.01147796996479801,0.8368538929795976,-1.3361325792104508,0.9529628677780135,-0.09117009148932252,0.017994858611825194,613,138,0.007329875422145028,PASS_DESCRIPTIVE_CHECK,1.070586116216076,0.33221208177054384,4,0.005141388174807198,7.35239668879202e-5,9.450381348061725e-8,466.4853321326626,Analytical compound-Poisson zero probability; no simulation or resampling,REVIEW_ABSOLUTE_STANDARDIZED_DIFFERENCE_AT_LEAST_3.29,4.22683921018474,9.659067942721162,0,,,PASS,,,,,,ESTIMABLE,ESTIMABLE,REVIEW_WITH_LIMITATIONS,ZERO_MASS_REVIEW
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,8.548113328288309e-5,,10,10,TRUE,26.82146151158737,TRUE,TRUE,FALSE,1.1031602298317011e-5,,18,18,TRUE,36.19862529401286,816,2.7177334456969974e-17,0.3010861457375865,-0.2422267724489373,0.9974679134391145,-0.12603270190940302,0,654,141,-0.004440449479580983,PASS_DESCRIPTIVE_CHECK,,,31,0.03799019607843137,,,,not applicable,NOT_APPLICABLE,0.1340135372655713,2.5244929049837483,0,0,,PASS,0.2120513131488678,,,,,ESTIMABLE,ESTIMABLE,PASS,
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.487166607868858e-6,,10,10,TRUE,26.825104526123546,TRUE,TRUE,FALSE,1.531361704110168e-6,,18,18,TRUE,37.877144770758846,761,-1.7711047988106965e-16,0.5083411428868102,-1.60421783052705,0.95606557338735,-0.1175411513591599,0.002628120893561104,572,140,-0.019050726728184628,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,676.674727775297,25593.97782638209,0,,,PASS,0.3387481099992569,,,,,ESTIMABLE,ESTIMABLE,PASS,
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TRUE,TRUE,FALSE,9.373479770147242e-6,,9,9,TRUE,20.846068973702927,TRUE,TRUE,FALSE,1.6412400327681098e-5,,16,16,TRUE,22.22073086489898,902,4.03132811685537e-16,0.31218321520833076,-0.8004097776308976,0.9770098000734257,-0.16784943948830516,0,733,154,-0.03341635817155519,PASS_DESCRIPTIVE_CHECK,,,0,0,,,,not applicable,NOT_APPLICABLE,0.5087731818205531,18.546530501032247,0,,,PASS,0.24956372588349998,,,,,ESTIMABLE,ESTIMABLE,PASS,
