"check","status","evidence"
"exact_native_gt_tables","PASS","36 endpoints; 36 unique labels"
"all_tables_semantically_complete","PASS","36 of 36 complete"
"principal_table_present","PASS","tbl-h01-primary-publication-summary"
"exact_labelled_figures","PASS","10 endpoints; 10 unique labels"
"all_figures_semantically_complete","PASS","10 of 10 complete"
"principal_figure_present","PASS","fig-h01-model-support"
"unique_document_ids","PASS","zero duplicate IDs"
"expected_sections_present","PASS","15 required sections"
"answer_in_brief_hierarchy","PASS","one Answer in brief note inside the hypothesis section"
"no_cell_errors_or_warnings","PASS","0 errors and 0 warnings"
"no_unresolved_reference_elements","PASS","zero unresolved-reference elements"
"no_unresolved_reference_text","PASS","zero unresolved-reference tokens in main reader text"
"no_raw_console_or_object_leak","PASS","zero raw-console or leaked-object markers in main reader text"
"no_internal_workflow_terms","PASS","zero prohibited internal workflow terms in main reader text"
"fdr_not_bh_in_compact_displays","PASS","zero standalone BH abbreviations in table and figure compact text"
"all_reader_links_resolve_or_known_doc001_hold","PASS","203 reader links checked; 1 known DOC-001 hold"
"no_forbidden_reader_targets","PASS","0 forbidden targets"
"companion_link_resolves","PASS","../../audit/hypotheses/H01/H01_analysis_preparation.html"
"preparation_04_link_resolves","PASS","../../notebooks/preparation/04_metric_derivation.html"
"preparation_06_link_resolves","PASS","../../notebooks/preparation/06_model_ready_datasets.html"
"all_exact_deviation_anchors_resolve","PASS","40 links; 36 unique exact anchors"
"all_source_data_links_resolve","PASS","19 displayed source-data links"
"active_h01_navigation","PASS","../../notebooks/hypotheses/H01.html"
