component,type,locked_version,installed_version,status,role,notes
R,runtime,4.5.0,4.6.1,mismatch,authoritative computational runtime,"Update lock only after clean notebooks and final renders pass"
Quarto,document-runtime,,1.9.37,recorded,project rendering,"Version obtained from quarto --version"
Pandoc,document-runtime,,3.8.3,recorded,Quarto-bundled conversion,"Verified with quarto pandoc --version; no standalone pandoc on PATH"
Typst,document-runtime,,0.14.2,recorded,Quarto-bundled review-PDF engine,"Verified by quarto check"
Deno,document-runtime,,2.4.5,recorded,Quarto runtime dependency,"Verified by quarto check"
Dart-Sass,document-runtime,,1.87.0,recorded,Quarto styling dependency,"Verified by quarto check"
locked-package-names,inventory,226,226,present,dependency inventory,"All lockfile package names installed; 224 exact normalized version matches and two mismatches"
renv,R-package,1.2.3,1.2.3,match,dependency management,"Temporary sandbox and cache-disabled restoration used in managed workspace"
Matrix,R-package,1.7-3,1.7-6,mismatch,sparse-matrix and mixed-model dependency,"Record installed R 4.6.1-compatible version at final snapshot"
sf,R-package,1.1-1,1.1-2,mismatch,spatial data and suntools dependency,"Links to GEOS 3.13.0; GDAL 3.8.5; PROJ 9.5.1"
LightLogR,R-package,0.10.3,0.10.3,match,light-exposure preprocessing and metrics,"Minimum required version satisfied; explicit interval bounds still required"
suntools,R-package,1.1.0,1.1.0,match,photoperiod calculation,"Retain DST output-date correction"
melidosData,R-package,1.0.6,1.0.6,match,study-data access,"No update indicated by environment audit"
lme4,R-package,2.0-1,2.0-1,match,linear and generalized mixed models,"Clean load under R 4.6.1 passed"
RcppEigen,R-package,0.3.4.0.2,0.3.4.0.2,match,lme4 compiled dependency,"Clean lme4 load under R 4.6.1 passed"
glmmTMB,R-package,1.1.14,1.1.14,match,generalized mixed models,"Clean load under R 4.6.1 passed"
TMB,R-package,1.9.21,1.9.21,match,glmmTMB compiled dependency,"R 4.6.1 build"
mgcv,R-package,1.9-4,1.9-4,match,GAM and BAM models,"Recommended package in R 4.6.1"
performance,R-package,0.17.1,0.17.1,match,model diagnostics and mixed-model R-squared,"Manuscript currently reports stale 0.16.0"
emmeans,R-package,2.0.3,2.0.3,match,marginal means and contrasts,"Used API signatures remain available"
gratia,R-package,0.11.2,0.11.2,match,GAM diagnostics and smooth inference,"Includes constrained factor-smooth derivative support"
itsadug,R-package,2.5,2.5,match,GAM autocorrelation helpers,"Used start_value_rho and acf_resid APIs remain available"
ordinal,R-package,2025.12-29,2025.12-29,match,ordinal mixed model,"Used clmm API remains available"
nnet,R-package,7.3-20,7.3-20,match,multinomial model,"Masks mgcv multinom when attached; use explicit namespace"
see,R-package,,0.14.1,installed_pending_snapshot,performance diagnostic visualization,"Verified requirement: performance::check_model fails without see; synthetic lm and glmmTMB checks pass after installation"
DHARMa,R-package,,0.5.0,installed_pending_snapshot,simulated residual diagnostics,"Required to prevent silent fallback to ordinary residuals for non-Gaussian performance diagnostics; synthetic Poisson glmmTMB simulation passed"
correlation,R-package,,0.8.8,installed_pending_snapshot,see dependency,"Installed only as part of the verified see dependency closure"
modelbased,R-package,,0.16.0,installed_pending_snapshot,see dependency,"Installed only as part of the verified see dependency closure"
shiny,R-package,,1.14.0,installed_pending_snapshot,parameterized-notebook metadata dependency,"renv 1.2.3 infers Shiny from the intentional params mappings in H01-H11; no Shiny runtime or API is used"
httpuv,R-package,,1.6.17,installed_pending_snapshot,Shiny runtime dependency,"No direct project reference; installed only through Shiny"
sourcetools,R-package,,0.1.7-2,installed_pending_snapshot,Shiny runtime dependency,"No direct project reference; installed only through Shiny"
xtable,R-package,,1.8-8,installed_pending_snapshot,Shiny runtime dependency,"No direct project reference; installed only through Shiny"
dplyr,R-package,1.2.1,1.2.1,match,data transformation,"Canonical pipeline dependency"
tidyr,R-package,1.3.2,1.3.2,match,data reshaping,"Canonical pipeline dependency"
readr,R-package,2.2.0,2.2.0,match,CSV artifact IO,"Canonical pipeline dependency"
tibble,R-package,3.3.1,3.3.1,match,tabular artifact representation,"Canonical pipeline dependency"
purrr,R-package,1.2.2,1.2.2,match,functional iteration,"Canonical pipeline dependency"
rlang,R-package,1.3.0,1.3.0,match,tidy evaluation and errors,"Canonical pipeline dependency"
lubridate,R-package,1.9.5,1.9.5,match,date-time handling,"Site Olson zones and true-UTC conversions"
tzdb,R-package,0.5.0,0.5.0,match,time-zone database,"Record with site-specific Olson-zone assumptions"
timechange,R-package,0.4.0,0.4.0,match,date-time backend,"Compiled date-time dependency"
openssl,R-package,2.4.2,2.4.2,match,SHA-256 and secure downloads,"artifact_sha256 uses an explicit binary connection"
knitr,R-package,1.51,1.51,match,Quarto R execution,"Verified by quarto check"
rmarkdown,R-package,2.31,2.31,match,Quarto R document support,"Verified by quarto check"
gt,R-package,1.3.0,1.3.0,match,publication tables,"Final table-render verification pending"
gtsummary,R-package,2.5.1,2.5.1,match,model and descriptive tables,"Final table-render verification pending"
ggplot2,R-package,4.0.3,4.0.3,match,figures,"Final display verification pending"
ragg,R-package,1.5.2,1.5.2,match,raster figure device,"Final font and device verification pending"
systemfonts,R-package,1.3.2,1.3.2,match,font discovery,"Final resolved-font inventory pending"
textshaping,R-package,1.0.5,1.0.5,match,text shaping,"Final resolved-font inventory pending"
processx,R-package,3.9.0,3.9.0,match,timeout-controlled child process,"Runs the final renv::status check with a hard wall-clock limit and retained stdout stderr and termination metadata"
jsonlite,R-package,2.0.0,2.0.0,match,lockfile reconciliation,"Reads renv.lock for the deterministic environment audit without invoking renv::status"
