"text","parent","inline_style","flagged_in_attempt4","source_classification"
"Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",TRUE,"Intentionally visually clipped accessibility description; exact source text preserved"
"melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
"Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","span","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",FALSE,"Intentionally visually clipped accessibility description; exact source text preserved"
